trunk-recorder-configs,RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,
| Mississippi | Hinds | MSWIN Mississippi Wireless Integrated Network | [Hinds County Simulcast 2](/configs/Mississippi/counties/HINDS/Hinds_County_Simulcast_2.MSWIN.2-062.P25.json) |,2,062,3E,2A0,Hinds County Simulcast 2,Hinds,32.2732,-90.447693,20,851.775000c,852.212500c,852.737500c,853.237500c,854.8625,,,,,,,,
| Mississippi | Holmes | MSWIN Mississippi Wireless Integrated Network | [Coxburg](/configs/Mississippi/counties/HOLMES/Coxburg.MSWIN.3-001.P25.json) |,3,001,1,2A6,Coxburg,Holmes,32.97833,-90.21603,16,770.18125,770.431250c,770.681250c,770.931250c,772.18125,772.50625,,,,,,,
| Mississippi | Holmes | MSWIN Mississippi Wireless Integrated Network | [Lexington](/configs/Mississippi/counties/HOLMES/Lexington.MSWIN.3-003.P25.json) |,3,003,3,2A6,Lexington,Holmes,33.14792,-90.12158,16,771.55625,771.90625,773.806250c,773.306250c,773.556250c,,,,,,,,
| Mississippi | Holmes | MSWIN Mississippi Wireless Integrated Network | [West](/configs/Mississippi/counties/HOLMES/West.MSWIN.3-004.P25.json) |,3,004,4,2A2,West,Holmes,33.23078,-89.81192,16,769.35625,769.60625,773.281250c,773.531250c,773.781250c,,,,,,,,
| Mississippi | Holmes | MSWIN Mississippi Wireless Integrated Network | [Durant](/configs/Mississippi/counties/HOLMES/Durant.MSWIN.3-051.P25.json) |,3,051,33,1A3,Durant,Holmes,33.03475,-89.94047,12,773.906250c,771.868750c,771.206250c,769.81875,769.10625,,,,,,,,
| Mississippi | Issaquena | MSWIN Mississippi Wireless Integrated Network | [Fitler](/configs/Mississippi/counties/ISSAQUENA/Fitler.MSWIN.2-016.P25.json) |,2,016,10,2A0,Fitler,Issaquena,32.77072,-91.05664,16,772.10625,773.04375,773.293750c,773.543750c,773.793750c,770.79375,771.04375,771.34375,771.68125,772.49375,772.79375,774.44375,
| Mississippi | Issaquena | MSWIN Mississippi Wireless Integrated Network | [Grace](/configs/Mississippi/counties/ISSAQUENA/Grace.MSWIN.2-017.P25.json) |,2,017,11,2A2,Grace,Issaquena,32.95861,-91.01167,16,772.98125,774.04375,774.293750c,774.543750c,774.793750c,772.38125,,,,,,,
| Mississippi | Itawamba | MSWIN Mississippi Wireless Integrated Network | [Mantachie](/configs/Mississippi/counties/ITAWAMBA/Mantachie.MSWIN.3-031.P25.json) |,3,031,1F,2A1,Mantachie,Itawamba,34.25756,-88.51741,16,771.03125,771.73125,774.08125,774.331250c,774.581250c,774.831250c,,,,,,,
| Mississippi | Itawamba | MSWIN Mississippi Wireless Integrated Network | [Tremont](/configs/Mississippi/counties/ITAWAMBA/Tremont.MSWIN.3-032.P25.json) |,3,032,20,,Tremont,Itawamba,34.22836,-88.26086,16,770.456250c,770.706250c,770.956250c,772.48125,772.88125,770.20625,,,,,,,
| Mississippi | Itawamba | MSWIN Mississippi Wireless Integrated Network | [Otto Forrest](/configs/Mississippi/counties/ITAWAMBA/Otto_Forrest.MSWIN.3-033.P25.json) |,3,033,21,2A4,Otto Forrest,Itawamba,34.42656,-88.32491,16,769.468750c,769.718750c,769.968750c,774.48125,773.90625,,,,,,,,
